key,en,spa
key_painting_dialogue,Oh* how I ended up despising these art classes. The techniques were fun* but they were so obsessed with us learning so much boring stuff. Its a shame i never painted again after that.,Oh* como acabé odiando esas clases de arte. Las técnicas eran divertidas* pero estaban tan obsesionados en hacernos aprender tantas cosas aburridas. Es una lástima que nunca más pinté después de eso.
key_cat_ending,I became too fond of it to leave it behind.,Me encariñé demasiado con él. No podría abandonarlo aquí.
key_pack_ending,Not in a million years could I let this behind. Its one of the few things that remained intact. I can remember the excitement in his face when our parents bought it.,Ni loca podía olvidarme de esto. Es uno de los pocos objetos que quedaron intactos. Puedo rememorar la cara de emoción de mi hermano cuando nuestros padres se lo compraron.
key_mug_ending,A funny memory of when I was younger* all we cared about was running around the house making a mess. ¿Does he remember me still?,Un divertido recuerdo de cuando aún las responsabilidades no existían* y solo nos importaba corretear y gritar por la casa ¿Se acordará de mí aún?
key_book_ending,I would die before abandoning this book.,Me muero antes de abandonar este libro. 
key_lion_ending,I take this trophy with me.,Me llevo este trofeo conmigo. 
key_lamp_ending,Another trip won't kill it. I'll ask  to handle with care.,Otro viaje más no le vendrá mal. Voy a pedir que lo lleven con mucho cuidado.
key_xilo_ending,I hope my new neighbours don't mind. I could use some music in my life.,Me puede servir para la universidad* o escribir las miles de ideas que se me pasan por la cabeza.
key_board_ending,I could still use it for college* or any other aspect of my life if it comes to it.,Me puede servir para la universidad* o escribir las miles de ideas que se me pasan por la cabeza.
key_souvenir_ending,I'll do good taking it with me. Its a dumb way to remember things don't always end up as planned.,Me hará bien llevármelo. Una forma tonta de recordar que no todo sale como uno quiere.
key_tooth_ending,She'd kill me if I forgot them. She saved them with love.,Ella me mataría si me los olvido. Los guardó con mucho amor.
key_photos_ending,Bittersweet memory. Its not like I can forget it either way.,Un recuerdo agridulce. Realmente me gustan mucho las fotos* pero...
key_painting_ending,Its going to look good in my new room. Maybe I should even dare retake some classes.,"Va a quedar lindo en mi nuevo cuarto. Incluso en un nuevo ambiente quizás me animo a retomar las clases
de pintura."
key_secret_ending,I'm moving out for a reason. None of these things can pay in value the space they take up in my heart. I need to be able to leave it all behind once and for all.,Por algo me estoy mudando. Ninguna de estas cosas pagan con valor en mi vida el espacio que ocupan en mi corazón. Tengo que poder dejarlas atrás de una vez por todas.
key_language,Language,Lenguaje
key_back,Back,Volver
key_made_by,These are games made in parallel by other teams of Alpha Wolf Studios,Estos juegos fueron hechos en paralelo por otros miembros de Alpha Wolf Studios 
key_start_dialogue,I'm almost done with the boxes before moving out. I have to choose the last things to pack* I don't have enough space to take everyting. ¿What are the most valuable things I've got here?,Ya casi termino con la mudanza. Tengo que elegir que últimos objetos quiero llevarme* no me queda suficiente espacio para llevarme todo. ¿Cuales son las cosas más valiosas que tengo aquí?
key_store_item,Store item,Llevar item
key_cant_store_item,Boxes are too full to store this item,Las cajas estan demasiado llenas para llevar este item
key_return_room,Return to the room,Volver a la habitacion
key_alpha_wolf,Made By Alpha Wolf,Hecho por Alpha Wolf
key_audio,Audio,Audio
key_move_out,Move Out,Mudarse
key_storage_capacity,Storage Capacity,Capacidad de Almacenamiento
